Index,Quantity,Digikey Part Number,Manufacturer Part Number,Description,Price (CAD),Unit Price (CAD),Link,,
1,1,"	
1528-2500-ND",3675,ITSY BITSY 32U4 3V 8MHZ,14.35,14.35,https://www.digikey.ca/en/products/detail/3675/1528-2500-ND/8031669,,
2,1,1568-1213-ND,COM-12986,ADDRESS LED DISC SER RGB 5MM 5PC,4.26,0.852,https://www.digikey.ca/en/products/detail/COM-12986/1568-1213-ND/5673799,,
3,2,S7047-ND,"	PPPC141LFBN-RC",CONN HDR 14POS 0.1 GOLD,1.37,1.37,https://www.digikey.ca/en/products/detail/PPPC141LFBN-RC/S7047-ND/810186,,
4,8,CP1-3535NG-ND,"	SJ1-3535NG",CONN JACK STEREO 3.5MM R/A,1.72,1.72,https://www.digikey.ca/product-detail/en/cui-inc/SJ1-3535NG/CP1-3535NG-ND,,
5,2,CP-43514-ND,SJ-43514,CONN JACK 4COND 3.5MM,1.53,1.53,https://www.digikey.ca/en/products/detail/SJ-43514/CP-43514-ND/368146,,
6,2,36-4701-ND,4701,"	
HEX NUT 0.245"" STEEL 6-32",0.15,,https://www.digikey.ca/en/products/detail/keystone-electronics/4701/316272,,
7,2,36-9309-ND,9309,MACH SCREW PAN HEAD SLOTTED 6-32,0.15,,https://www.digikey.ca/en/products/detail/keystone-electronics/9309/2746088,,
,,,,,,,,,
,,,,,,,,,
,,,,,Total Price (CAD),38.77,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
